Sample.ID	accession_number	sampling_date	Year	Month	Day	experimental_purpose	latitude_north	longitude_east	site	origin	soil_groups	land_use	soil_texture	pH_dry_soil	EC_electric_conductivity	Total_C	Total_N	soil_biomass	available_P	nitrogen_mineralization_rates	soil_respiration_activity	soil_moisture_content	cation_exchange_capacity_CEC	crop	planting_density	rate_of_organic_fertilizer_application	rate_of_chemical_fertilizer_applicationN	rate_of_chemical_fertilizer_applicationP	rate_of_chemical_fertilizer_applicationK	former_crop	seeding_or_transplanting	seeding_or_transplanting_date	DSI	DiseasePlant	nematodae	yield	PlantWeight	leafWeight	seedWeight
S_0029	000088-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	5.6	0.2	4.86	0.45	NA	31	NA	NA	35	NA	Cabbage	5.55	NA	25	11	21	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0028	000088-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	5.6	0.2	4.86	0.45	NA	31	NA	NA	35	NA	Cabbage	5.55	NA	25	11	21	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0027	000090-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.7	0.8	8.44	0.62	NA	75.2	NA	NA	35.2	NA	Cabbage	5.55	150	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0026	000090-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.653333333	0.765	8.437541241	0.624106811	NA	75.17625508	NA	NA	35.22575819	NA	Cabbage	5.55	150	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0025	000092-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	7.013333333	0.851666667	4.91350983	0.516742807	NA	328.6316453	NA	NA	33.41923665	NA	Cabbage	5.55	27	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0040	000092-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	7.013333333	0.851666667	4.91350983	0.516742807	NA	328.6316453	NA	NA	33.41923665	NA	Cabbage	5.55	27	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0039	000094-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.566666667	0.481666667	5.702883201	0.562671306	NA	200.3935193	NA	NA	34.83365223	NA	Cabbage	5.55	22	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0038	000094-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.6	0.5	5.7	0.56	NA	200.4	NA	NA	34.8	NA	Cabbage	5.55	22	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_2575	004111-2	2011/5/24	2011	May	11	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.22.45	139.02.48	"Isesaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.6	0.07	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	NA	NA	NA	NA	Eggplant	transplanting	2011/4/7	NA	0	102.7	NA	NA	NA	NA
S_2574	004113-1	2011/5/24	2011	May	11	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.22.45	139.02.48	"Isesaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.1	0.07	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	NA	NA	NA	NA	Eggplant	transplanting	2011/4/7	NA	0	192	NA	NA	NA	NA
S_2573	004113-2	2011/5/24	2011	May	11	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.22.45	139.02.48	"Isesaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.1	0.07	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	NA	NA	NA	NA	Eggplant	transplanting	2011/4/7	NA	0	181.3	NA	NA	NA	NA
S_2572	004116-0*	2011/5/18	2011	May	11	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.29.46	138.35.13	"Naganohara,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.2	0.07	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	NA	NA	NA	NA	Chinese_cabbage	transplanting	2011/5/17	NA	0	155.7	NA	NA	NA	NA
S_2513	004062-0*	2010/11/24	2010	Nov	10	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.29.34	138.29.34	"Naganohara,_Gunma"	non-rhizosphere	Wet_Andosols	upland	NA	6.1	0.23	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	1.5	12.5	16.3	16.8	Chinese_cabbage	transplanting	2011/6/16	NA	26	156.7	NA	NA	NA	NA
S_2528	004063-0*	2010/11/24	2010	Nov	10	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.29.34	138.29.34	"Naganohara,_Gunma"	non-rhizosphere	Wet_Andosols	upland	NA	6.2	0.24	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	1.5	12.5	16.3	16.8	Chinese_cabbage	transplanting	2011/6/16	NA	27	166	NA	NA	NA	NA
S_2527	004064-0*	2010/12/6	2010	Dec	10	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.29.46	138.35.13	"Naganohara,_Gunma"	non-rhizosphere	Wet_Andosols	upland	NA	6.1	0.17	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	1.5	12.5	16.3	16.8	Chinese_cabbage	transplanting	2011/5/17	NA	53	145.7	NA	NA	NA	NA
S_2812	004376-0*	2012/9/10	2012	Sep	12	Non-infection_soil_of_Verticillium	NA	NA	"Takasaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.6	0.28	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	NA	NA	NA	NA	NA	Chinese_cabbage	transplanting	NA	NA	NA	0	NA	NA	NA	NA
S_2811	004377-0*	2012/9/10	2012	Sep	12	Non-infection_soil_of_Verticillium	NA	NA	"Takasaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.7	0.38	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	NA	NA	NA	NA	NA	Chinese_cabbage	transplanting	NA	NA	NA	0	NA	NA	NA	NA
S_2810	004378-0*	2012/9/10	2012	Sep	12	Non-infection_soil_of_Verticillium	NA	NA	"Takasaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.7	0.37	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	NA	NA	NA	NA	NA	Chinese_cabbage	transplanting	NA	NA	NA	0	NA	NA	NA	NA
S_2809	004379-0*	2012/9/10	2012	Sep	12	Non-infection_soil_of_Verticillium	NA	NA	"Takasaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	6.3	0.21	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	NA	NA	NA	NA	NA	Chinese_cabbage	transplanting	NA	NA	NA	0	NA	NA	NA	NA
S_2824	004380-0*	2012/9/10	2012	Sep	12	Non-infection_soil_of_Verticillium	NA	NA	"Takasaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	6.1	0.33	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	NA	NA	NA	NA	NA	Chinese_cabbage	transplanting	NA	NA	NA	0	NA	NA	NA	NA
S_2823	004381-1*	2012/10/24	2012	Oct	12	Evaluation_of_disease_development_with_V._dahliae_C-7	36.30.40	138.28.19	"Tumagoi,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.9	0.13	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	NA	NA	NA	NA	NA	Chinese_cabbage	transplanting	2012/8/20	NA	NA	27.5	NA	NA	NA	NA
S_1296	001706-1*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.02	1.36	0.15	NA	20.3	NA	NA	15.1	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	56	NA	NA	NA	NA	NA	NA
S_1295	001707-1*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.7	0.04	1.69	0.19	NA	26.2	NA	NA	19.4	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	52	NA	NA	NA	NA	NA	NA
S_1294	001708-1*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.04	1.66	0.18	NA	24.8	NA	NA	23.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	60	NA	NA	NA	NA	NA	NA
S_1293	001709-1*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.7	0.05	1.7	0.18	NA	20.3	NA	NA	14.5	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	65	NA	NA	NA	NA	NA	NA
S_1292	001710-1*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.03	1.48	0.17	NA	22.1	NA	NA	15	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	60	NA	NA	NA	NA	NA	NA
S_1291	001711-1*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.9	0.03	1.48	0.16	NA	21.9	NA	NA	16.8	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	29	NA	NA	NA	NA	NA	NA
S_1290	001712-1*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.04	1.54	0.17	NA	22.9	NA	NA	18.2	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	17	NA	NA	NA	NA	NA	NA
S_1289	001703-2*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.7	0.05	1.69	0.18	NA	23.5	NA	NA	16.7	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	42	NA	NA	NA	NA	NA	NA
S_1304	001704-2*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.7	0.03	1.36	0.27	NA	7.1	NA	NA	17.4	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	79	NA	NA	NA	NA	NA	NA
S_1303	001701-2*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.7	0.04	2.05	0.2	NA	3.1	NA	NA	18.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	71	NA	NA	NA	NA	NA	NA
S_1302	001702-2*	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.03	2.79	0.23	NA	13.7	NA	NA	17.4	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	52	NA	NA	NA	NA	NA	NA
S_1301	001707-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	6	0.02	1.21	0.14	NA	13.8	NA	NA	18	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	58	NA	NA	NA	NA	NA	NA
S_1300	001708-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	6	0.02	1.14	0.14	NA	14.1	NA	NA	19.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	65	NA	NA	NA	NA	NA	NA
S_1299	001705-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	6	0.02	1.17	0.14	NA	10.8	NA	NA	17.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	69	NA	NA	NA	NA	NA	NA
S_1298	001706-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.03	1.43	0.16	NA	11.1	NA	NA	16.2	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	73	NA	NA	NA	NA	NA	NA
S_1297	001711-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	6	0.05	1.34	0.15	NA	26.4	NA	NA	18	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	69	NA	NA	NA	NA	NA	NA
S_1312	001712-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.9	0.04	2.77	0.27	NA	46.7	NA	NA	15.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	83	NA	NA	NA	NA	NA	NA
S_1311	001709-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	6	0.02	1.12	0.14	NA	14.5	NA	NA	15.9	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	96	NA	NA	NA	NA	NA	NA
S_1310	001710-2_	2011/7/5	2011	Jul	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.04	1.27	0.15	NA	14.6	NA	NA	15.9	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	98	NA	NA	NA	NA	NA	NA
S_1309	001729-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.8	0.02	1.22	0.15	NA	13	NA	NA	16.5	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	77	NA	NA	NA	NA	NA	NA
S_1308	001730-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.4	0.41	1.11	0.16	NA	28	NA	NA	14.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	56	NA	NA	NA	NA	NA	NA
S_1307	001731-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.31	1.38	0.17	NA	33.5	NA	NA	15.8	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	52	NA	NA	NA	NA	NA	NA
S_1306	001732-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.44	1.43	0.2	NA	45.9	NA	NA	13.9	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	60	NA	NA	NA	NA	NA	NA
S_1305	001733-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.31	1.36	0.18	NA	27.7	NA	NA	14.9	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	65	NA	NA	NA	NA	NA	NA
S_1320	001734-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.53	1.28	0.17	NA	28.4	NA	NA	12.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	60	NA	NA	NA	NA	NA	NA
S_1319	001735-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.6	0.18	1.27	0.17	NA	26.4	NA	NA	11.6	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	29	NA	NA	NA	NA	NA	NA
S_1318	001736-1*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.18	1.27	0.16	NA	29.7	NA	NA	11.9	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	17	NA	NA	NA	NA	NA	NA
S_1317	001727-2*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.2	1.46	0.17	NA	28.5	NA	NA	13	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	42	NA	NA	NA	NA	NA	NA
S_1316	001728-2*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.2	0.28	0.96	0.19	NA	18.2	NA	NA	14.5	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	79	NA	NA	NA	NA	NA	NA
S_1315	001725-2*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.4	0.3	1.82	0.23	NA	9.2	NA	NA	20.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	71	NA	NA	NA	NA	NA	NA
S_1314	001726-2*	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.4	0.27	2.55	0.14	NA	8.2	NA	NA	20.1	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	52	NA	NA	NA	NA	NA	NA
S_1313	001731-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.3	0.17	0.91	0.13	NA	14.8	NA	NA	12.1	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	58	NA	NA	NA	NA	NA	NA
S_1328	001732-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.6	0.09	0.89	0.14	NA	16.5	NA	NA	16.5	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	65	NA	NA	NA	NA	NA	NA
S_1327	001729-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.6	0.17	0.96	0.15	NA	32.3	NA	NA	15.2	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	69	NA	NA	NA	NA	NA	NA
S_1326	001730-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.19	1.16	0.16	NA	14.9	NA	NA	14.9	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	73	NA	NA	NA	NA	NA	NA
S_1325	1735-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.4	0.26	1.09	0.21	NA	17	NA	NA	14.4	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	69	NA	NA	NA	NA	NA	NA
S_1324	1736-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.9	0.05	2.11	0.21	NA	58.1	NA	NA	16.1	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	83	NA	NA	NA	NA	NA	NA
S_1323	1733-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.4	0.17	0.96	0.14	NA	19.8	NA	NA	19.8	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	96	NA	NA	NA	NA	NA	NA
S_1322	1734-2_	2011/8/17	2011	Aug	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	non-rhizosphere	Brown_Lowland_soils	upland	NA	5.9	0.17	1.03	0.14	NA	23.1	NA	NA	18.3	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	98	NA	NA	NA	NA	NA	NA
S_1321	001781-1½½	2011/9/17	2011	Sep	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	rhizosphere	Brown_Lowland_soils	upland	NA	5.5	0.21	0.92	0.15	NA	19.6	NA	NA	12.4	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	77	NA	NA	NA	NA	NA	NA
S_1336	001781-2½½	2011/9/17	2011	Sep	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	rhizosphere	Brown_Lowland_soils	upland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	0	NA	NA	NA	NA	NA	NA
S_1335	001777-1½½	2011/9/17	2011	Sep	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	rhizosphere	Brown_Lowland_soils	upland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	1	NA	NA	NA	NA	NA	NA
S_1334	001777-2½½	2011/9/17	2011	Sep	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	rhizosphere	Brown_Lowland_soils	upland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	2	NA	NA	NA	NA	NA	NA
S_1333	001773-1½½	2011/9/17	2011	Sep	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	rhizosphere	Brown_Lowland_soils	upland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	2	NA	NA	NA	NA	NA	NA
S_1332	001773-2½½	2011/9/17	2011	Sep	11	Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field	36.05.04	139.38.24	Rokumanbu_kuki-city__	rhizosphere	Brown_Lowland_soils	upland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eggplant	1.2	1.5	7	19	7	Tomato	transplanting	2011/7/8	4	NA	NA	NA	NA	NA	NA
